896	NULL	Gene Expression
897	NULL	Gene Expression
1275	NULL	Gene Expression
1914	NULL	Gene Expression
1915	NULL	Gene Expression
1916	NULL	Gene Expression
1917	NULL	Gene Expression
1918	NULL	Gene Expression
1919	NULL	Gene Expression
1920	NULL	Gene Expression
1921	NULL	Gene Expression
2000	NULL	Gene Expression
2001	NULL	Gene Expression
2002	NULL	Gene Expression
2003	NULL	Gene Expression
2004	NULL	Gene Expression
2005	NULL	Gene Expression
2006	NULL	Gene Expression
2007	NULL	Gene Expression
2008	NULL	Gene Expression
2009	NULL	Gene Expression
2010	NULL	Gene Expression
2011	NULL	Gene Expression
2524	NULL	Gene Expression
2525	NULL	Gene Expression
2526	NULL	Gene Expression
2527	NULL	Gene Expression
2528	NULL	Gene Expression
3081	NULL	Gene Expression
3082	NULL	Gene Expression
3083	NULL	Gene Expression
3085	NULL	Gene Expression
3086	NULL	Gene Expression
3087	NULL	Gene Expression
3088	NULL	Gene Expression
3089	NULL	Gene Expression
3090	NULL	Gene Expression
3091	NULL	Gene Expression
3092	NULL	Gene Expression
3093	NULL	Gene Expression
3094	NULL	Gene Expression
3095	NULL	Gene Expression
3096	NULL	Gene Expression
3097	NULL	Gene Expression
3098	NULL	Gene Expression
3099	NULL	Gene Expression
3100	NULL	Gene Expression
3101	NULL	Gene Expression
3102	NULL	Gene Expression
3103	NULL	Gene Expression
3104	NULL	Gene Expression
3105	NULL	Gene Expression
3542	NULL	Gene Expression
3543	NULL	Gene Expression
3544	NULL	Gene Expression
3711	NULL	Gene Expression
3712	NULL	Gene Expression
3726	NULL	Gene Expression
3727	NULL	Gene Expression
3728	NULL	Gene Expression
3746	NULL	Gene Expression
3747	NULL	Gene Expression
4305	NULL	Gene Expression
4306	NULL	Gene Expression
4307	NULL	Gene Expression
4308	NULL	Gene Expression
4309	NULL	Gene Expression
4310	NULL	Gene Expression
4311	NULL	Gene Expression
4312	NULL	Gene Expression
4313	NULL	Gene Expression
4314	NULL	Gene Expression
4315	NULL	Gene Expression
4410	NULL	Gene Expression
4411	NULL	Gene Expression
4412	NULL	Gene Expression
4413	NULL	Gene Expression
4414	NULL	Gene Expression
4415	NULL	Gene Expression
4416	NULL	Gene Expression
4505	NULL	Gene Expression
4592	NULL	Gene Expression
4655	NULL	Gene Expression
4656	NULL	Gene Expression
4776	NULL	Gene Expression
4777	NULL	Gene Expression
4778	NULL	Gene Expression
4779	NULL	Gene Expression
4780	NULL	Gene Expression
4781	NULL	Gene Expression
4782	NULL	Gene Expression
4783	NULL	Gene Expression
4784	NULL	Gene Expression
4830	NULL	Gene Expression
4831	NULL	Gene Expression
4832	NULL	Gene Expression
4833	NULL	Gene Expression
4834	NULL	Gene Expression
4835	NULL	Gene Expression
4836	NULL	Gene Expression
4837	NULL	Gene Expression
4838	NULL	Gene Expression
4839	NULL	Gene Expression
4840	NULL	Gene Expression
4841	NULL	Gene Expression
4842	NULL	Gene Expression
4843	NULL	Gene Expression
4844	NULL	Gene Expression
4845	NULL	Gene Expression
4846	NULL	Gene Expression
5000	NULL	Gene Expression
5001	NULL	Gene Expression
5002	NULL	Gene Expression
5003	NULL	Gene Expression
5004	NULL	Gene Expression
5005	NULL	Gene Expression
5006	NULL	Gene Expression
5007	NULL	Gene Expression
5008	NULL	Gene Expression
5009	NULL	Gene Expression
5010	NULL	Gene Expression
5011	NULL	Gene Expression
5012	NULL	Gene Expression
5013	NULL	Gene Expression
